,Unnamed: 0,Uni,Links,Target Link
96,96,İSTANBUL GEDİK ÜNİVERSİTESİ,gedik.edu.tr,https://avesis.gedik.edu.tr/proxy/search/_search
97,97,İSTANBUL GELİŞİM ÜNİVERSİTESİ,gelisim.edu.tr,https://avesis.gelisim.edu.tr/proxy/search/_search
98,98,İSTANBUL KENT ÜNİVERSİTESİ,kent.edu.tr,https://avesis.kent.edu.tr/proxy/search/_search
99,99,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,iku.edu.tr,https://avesis.iku.edu.tr/proxy/search/_search
100,100,İSTANBUL MEDENİYET ÜNİVERSİTESİ,medeniyet.edu.tr,https://avesis.medeniyet.edu.tr/proxy/search/_search
101,101,İSTANBUL MEDİPOL ÜNİVERSİTESİ,medipol.edu.tr,https://avesis.medipol.edu.tr/proxy/search/_search
102,102,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,nisantasi.edu.tr,https://avesis.nisantasi.edu.tr/proxy/search/_search
103,103,İSTANBUL OKAN ÜNİVERSİTESİ,okan.edu.tr,https://avesis.okan.edu.tr/proxy/search/_search
104,104,İSTANBUL RUMELİ ÜNİVERSİTESİ,rumeli.edu.tr,https://avesis.rumeli.edu.tr/proxy/search/_search
105,105,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,izu.edu.tr,https://avesis.izu.edu.tr/proxy/search/_search
106,106,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,issb.edu.tr,https://avesis.issb.edu.tr/proxy/search/_search
107,107,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,istun.edu.tr,https://avesis.istun.edu.tr/proxy/search/_search
108,108,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,sisli.edu.tr,https://avesis.sisli.edu.tr/proxy/search/_search
109,109,İSTANBUL TEKNİK ÜNİVERSİTESİ,itu.edu.tr,https://avesis.itu.edu.tr/proxy/search/_search
110,110,İSTANBUL TİCARET ÜNİVERSİTESİ,ticaret.edu.tr,https://avesis.ticaret.edu.tr/proxy/search/_search
111,111,İSTANBUL TOPKAPI ÜNİVERSİTESİ,topkapi.edu.tr,https://avesis.topkapi.edu.tr/proxy/search/_search
112,112,İSTANBUL ÜNİVERSİTESİ,istanbul.edu.tr,https://avesis.istanbul.edu.tr/proxy/search/_search
113,113,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,iuc.edu.tr,https://avesis.iuc.edu.tr/proxy/search/_search
114,114,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,yeniyuzyil.edu.tr,https://avesis.yeniyuzyil.edu.tr/proxy/search/_search
115,115,İSTİNYE ÜNİVERSİTESİ,istinye.edu.tr,https://avesis.istinye.edu.tr/proxy/search/_search
116,116,İZMİR BAKIRÇAY ÜNİVERSİTESİ,bakircay.edu.tr,https://avesis.bakircay.edu.tr/proxy/search/_search
117,117,İZMİR DEMOKRASİ ÜNİVERSİTESİ,idu.edu.tr,https://avesis.idu.edu.tr/proxy/search/_search
118,118,İZMİR EKONOMİ ÜNİVERSİTESİ,ieu.edu.tr,https://avesis.ieu.edu.tr/proxy/search/_search
